SensoreFrontale;DifferenzaSxDxSensor;DifferenzaSxMinDxMinSensor;PosizioneRispettoAlCentro;AngoloLongTang;Cls
10.0306;-3.956810000000001;-9.10439;0.439241;-0.432659;3
10.0393;-3.9638299999999997;-9.12264;0.43915;-0.432335;3
10.0393;-3.96354;-9.121910000000002;0.439121;-0.432359;3
10.0407;-3.964640000000001;-9.12475;0.439102;-0.432311;3
10.0489;-3.97138;-9.142149999999999;0.439016;-0.432003;3
10.0528;-3.9741099999999996;-9.149199999999999;0.438934;-0.431893;3
10.0593;-3.97949;-9.163250000000001;0.438875;-0.431642;3
10.0605;-3.9804200000000005;-9.165790000000001;0.438859;-0.4316;3
10.0617;-3.98137;-9.168140000000001;0.438842;-0.431559;3
10.0663;-3.9850600000000007;-9.177520000000001;0.43878;-0.4314;3
10.0674;-3.9858600000000006;-9.179810000000002;0.438765;-0.431361;3
10.0679;-3.985999999999999;-9.18;0.438728;-0.431368;3
10.0706;-3.98836;-9.18626;0.438721;-0.431252;3
10.07;-3.9876099999999983;-9.184270000000001;0.4387;-0.431297;3
10.0737;-3.9907500000000002;-9.19248;0.438679;-0.431146;3
10.073;-3.9900200000000012;-9.1904;0.438658;-0.431192;3
10.0767;-3.9931800000000006;-9.198529999999998;0.438637;-0.431043;3
10.0791;-3.9948300000000003;-9.202760000000001;0.438574;-0.430983;3
10.0833;-3.9980600000000006;-9.21119;0.438518;-0.43084;3
10.0878;-4.001939999999999;-9.221309999999999;0.438484;-0.430659;3
10.0896;-4.003350000000001;-9.22503;0.438461;-0.430596;3
10.0905;-4.004009999999999;-9.22685;0.43845;-0.430565;3
10.0922;-4.005370000000001;-9.230410000000001;0.438427;-0.430505;3
10.0938;-4.00638;-9.23284;0.43838;-0.430473;3
10.0999;-4.01155;-9.246210000000001;0.438327;-0.430237;3
10.1013;-4.0124200000000005;-9.248380000000001;0.438286;-0.430209;3
10.1021;-4.0130300000000005;-9.250139999999998;0.438277;-0.43018;3
10.1025;-4.0133600000000005;-9.25093;0.438273;-0.430165;3
10.1048;-4.015450000000001;-9.25658;0.438271;-0.43006;3
-1.0;0.0;0.0;1.61325;-0.0103127;3
-1.0;0.0;0.0;1.61328;-0.0109568;3
-1.0;0.0;0.0;1.61332;-0.0110693;3
-1.0;0.0;0.0;1.61334;-0.0111871;3
-1.0;0.0;0.0;1.6135;-0.0114332;3
-1.0;0.0;0.0;1.61352;-0.0115455;3
-1.0;0.0;0.0;1.61359;-0.0116122;3
-1.0;0.0;0.0;1.61368;-0.0117902;3
-1.0;0.0;0.0;1.61407;-0.0126393;3
-1.0;0.0;0.0;1.61424;-0.0129897;3
-1.0;0.0;0.0;1.61441;-0.013341;3
-1.0;0.0;0.0;1.61454;-0.0135869;3
-1.0;0.0;0.0;1.61456;-0.0135579;3
-1.0;0.0;0.0;1.6146;-0.0136339;3
-1.0;0.0;0.0;1.61466;-0.0138126;3
-1.0;0.0;0.0;1.61468;-0.0137805;3
-1.0;0.0;0.0;1.61495;-0.0143299;3
-1.0;0.0;0.0;1.61515;-0.0146188;3
-1.0;0.0;0.0;1.61528;-0.0148414;3
-1.0;0.0;0.0;1.6154;-0.0150316;3
-1.0;0.0;0.0;1.61549;-0.0152347;3
-1.0;0.0;0.0;1.61551;-0.0152604;3
-1.0;0.0;0.0;1.61559;-0.0153074;3
-1.0;0.0;0.0;1.61562;-0.0153413;3
-1.0;0.0;0.0;1.61563;-0.015357;3
-1.0;0.0;0.0;1.61568;-0.0154907;3
-1.0;0.0;0.0;1.61569;-0.0154371;3
-1.0;0.0;0.0;1.61572;-0.0154723;3
-1.0;0.0;0.0;1.61573;-0.0154845;3
-1.0;0.0;0.0;1.61573;-0.0154758;3
-1.0;0.0;0.0;1.61573;-0.015466;3
-1.0;0.0;0.0;1.6157;-0.0154579;3
-1.0;0.0;0.0;1.61568;-0.0154069;3
-1.0;0.0;0.0;1.61566;-0.0153745;3
-1.0;0.0;0.0;1.61565;-0.0153606;3
-1.0;0.0;0.0;1.61559;-0.0152967;3
-1.0;0.0;0.0;1.61548;-0.0150955;3
-1.0;0.0;0.0;1.61542;-0.014925;3
-1.0;0.0;0.0;1.61542;-0.0149489;3
-1.0;0.0;0.0;1.6154;-0.0149301;3
-1.0;0.0;0.0;1.61539;-0.0149357;3
-1.0;0.0;0.0;1.61538;-0.0148487;3
-1.0;0.0;0.0;1.61537;-0.0148991;3
-1.0;0.0;0.0;1.61533;-0.0147996;3
-1.0;0.0;0.0;1.61531;-0.014781;3
-1.0;0.0;0.0;1.6153;-0.0147595;3
-1.0;0.0;0.0;1.61526;-0.014649;3
-1.0;0.0;0.0;1.61525;-0.0146525;3
-1.0;0.0;0.0;1.61521;-0.0145908;3
-1.0;0.0;0.0;1.61518;-0.0145347;3
-1.0;0.0;0.0;1.61517;-0.0145412;3
-1.0;0.0;0.0;1.61516;-0.0144535;3
-1.0;0.0;0.0;1.61511;-0.0144309;3
-1.0;0.0;0.0;1.61506;-0.0142332;3
-1.0;0.0;0.0;1.61504;-0.0142192;3
-1.0;0.0;0.0;1.615;-0.0141163;3
-1.0;0.0;0.0;1.61498;-0.0140272;3
-1.0;0.0;0.0;1.61495;-0.0140077;3
-1.0;0.0;0.0;1.61492;-0.0139435;3
-1.0;0.0;0.0;1.61492;-0.0138986;3
-1.0;0.0;0.0;1.6149;-0.0139017;3
-1.0;0.0;0.0;1.6149;-0.0138807;3
-1.0;0.0;0.0;1.61488;-0.0138422;3
-1.0;0.0;0.0;1.61487;-0.0137777;3
-1.0;0.0;0.0;1.61487;-0.013801;3
-1.0;0.0;0.0;1.61487;-0.0138252;3
-1.0;0.0;0.0;1.61485;-0.0137827;3
-1.0;0.0;0.0;1.61484;-0.013718;3
-1.0;0.0;0.0;1.61483;-0.0136826;3
-1.0;0.0;0.0;1.61482;-0.0137084;3
-1.0;0.0;0.0;1.61481;-0.0136379;3
-1.0;0.0;0.0;1.48088;0.502667;3
-1.0;0.0;0.0;1.48092;0.501948;3
-1.0;0.0;0.0;1.48109;0.501494;3
-1.0;0.0;0.0;1.48113;0.501462;3
-1.0;0.0;0.0;1.48127;0.501102;3
-1.0;0.0;0.0;1.42867;0.498797;3
-1.0;0.0;0.0;1.42866;0.499436;3
-1.0;0.0;0.0;1.42865;0.499457;3
